county,snap_pc,poverty_pop_pc,precipitation,lib_card_pc,lib_ct_pc,aqi,broad_un_sq_mi,elec_rate,uvi,avail_yard_sq_mi,benz_dose_pc,farm_market_pc
Allen,0.1107292581,0.117,38.33,0.3257182416,0.00006922810661,263,258,0.135935388,3892,0.00028900459,11.8,0.000009889729516
Ashtabula,0.1817574168,0.178,41.82,0.5799266085,0.00009277011565,178,453,0.1767084809,3704,0.00030084169,11.6,0.00002061558126
Belmont,0.1340502595,0.182,49.6,0.3899617431,0.000137176302,240,376,0.1262814731,3770,0.0003016667,13,0.00001524181134
Butler,0.1100101849,0.117,44.81,1.02955821,0.00002059626178,273,79,0.1457788072,3981,0.00028918394,18.6,0.00001287266361
Clark,0.1925472489,0.152,47.03,0.6538184839,0.00004450015204,241,157,0.1542991098,3902,0.00029868949,17,0.000007416692007
Clermont,0.07008032129,0.088,48.51,0.5888807191,0.000047437205,273,71,0.1104457914,3971,0.00028391105,15.1,0.000009487441
Columbiana,0.162252641,0.157,46.38,0.6521475261,0.00006964411855,40,348,0.1479161948,3727,0.00030514609,19.2,0.000009949159793
Cuyahoga,0.1660161951,0.164,40.92,1.0245809,0.00005420532167,244,37,0.1399001104,3741,0.00029675251,9.5,0.00001132648512
Delaware,0.04255936197,0.051,43.1,0.3865886082,0.00002253131853,237,160,0.2159609571,3837,0.00026608366,8,0.00001502087902
Erie,0.1316733425,0.108,32.99,0.514986376,0.00008053583173,274,124,0.1156834501,3805,0.00030234823,16.3,0
Fairfield,0.1048570056,0.088,46.27,0.3960760721,0.00004911048632,181,239,0.1262814731,3832,0.00028208168,14,0.00002455524316
Franklin,0.1120033881,0.151,44.8,0.7258529906,0.00002572211042,181,59,0.1196577087,3848,0.00029040352,8.5,0.00001664371851
Geauga,0.0349126485,0.065,44.06,0.5475494663,0.00007332223025,177,168,0.1477876184,3703,0.00026192274,9.2,0.00001047460432
Greene,0.07929667558,0.089,42.92,0.5893823907,0.00004155387757,218,256,0.1351002993,3920,0.00026970653,10.9,0.00003561760935
Hamilton,0.1176781418,0.153,45.49,0.5102534795,0.00004969474096,123,26,0.1104457914,3993,0.00029470792,12.5,0.000007272401117
Hancock,0.07658078168,0.067,32.87,0.3900428795,0.00004007427098,121,418,0.1262814731,3874,0.00030902005,11.2,0
Lake,0.06995432161,0.09,44.03,0.6509648813,0.0000603859525,15,35,0.1188667559,3717,0.0002923405,12.3,0.000008626564643
Licking,0.1255994519,0.102,48.37,0.3251892655,0.00005513925419,184,318,0.1262814731,3810,0.00029029591,9.7,0.00002205570167
Lorain,0.1038577075,0.129,36.66,0.5115819495,0.00004742813057,182,164,0.1602584835,3775,0.00029244811,12.3,0.000009485626115
Lucas,0.1613540499,0.178,30.65,0.6357985482,0.00004687760024,240,140,0.1229886994,3859,0.00030622219,15.3,0.000002343880012
Mahoning,0.2028806917,0.194,39.39,0.4919605028,0.00006647875339,227,112,0.1156834501,3709,0.00030173844,21.8,0.000008863833785
Marion,0.185720016,0.18,36.08,0.3224374246,0.00001546981838,180,307,0.2419649232,3845,0.00029926341,17.3,0.00003093963677
Medina,0.07165870307,0.067,37.65,0.5901085488,0.00003814464449,253,113,0.140198273,3759,0.00027616313,10.6,0.00002179693971
Miami,0.1073413088,0.11,40.65,0.5834263064,0.00007256433282,182,229,0.1158197243,3927,0.00030120039,15.7,0.000009070541602
Montgomery,0.1284128298,0.141,41.15,0.8400331902,0.00004682594982,181,138,0.1042446696,3946,0.00027756206,18.8,0.00001873037993
Muskingum,0.2014089998,0.126,46.41,0.5350992301,0.00006967589098,0,477,0.1262814731,3800,0.0002912644,32.2,0.00003483794549
Portage,0.08802396139,0.129,38.4,0.5137098519,0.00004327799932,211,120,0.1394568013,3717,0.00028358822,10.6,0.00001854771399
Richland,0.1405429072,0.152,42.82,0.5309330588,0.00007979635969,239,210,0.1836811664,3795,0.00028735457,11.6,0.00004787781581
Ross,0.1948705738,0.114,45.85,0.2553455343,0.0001174842702,0,423,0.09653914924,3881,0.0002959275,27,0.0000130538078
Scioto,0.2583880195,0.225,44.6,0.5035321495,0.00006925783306,243,355,0.1262814731,3913,0.00030622219,29.3,0.00001385156661
Stark,0.1192429226,0.131,39.67,0.5357231985,0.00005098522234,253,224,0.1723573021,3743,0.00029969385,21,0.00001610059653
Summit,0.1399568709,0.123,35.95,0.9590581509,0.00005038422638,253,44,0.1275701257,3740,0.00030033951,11.1,0.00001492865967
Trumbull,0.1306405732,0.164,40.57,0.4461506257,0.0000647916947,240,237,0.1213437718,3697,0.00030109278,17.6,0.000004983976516
Tuscarawas,0.1497297016,0.113,45.31,0.5424149146,0.0001196471497,0,439,0.1510707839,3765,0.00028613499,20.4,0.00001087701361
Union,0.05514867731,0.046,41.77,0.5042303208,0.00004484438997,37,317,0.1736614493,3862,0.00031275053,9.3,0
Warren,0.03612351706,0.053,44.66,0.5814603368,0.0000280248861,179,124,0.1475762334,3954,0.00029094157,14.2,0.00001601422063
Wayne,0.08580445938,0.098,40.65,0.4734512135,0.00006863476866,182,320,0.1958408235,3766,0.00027745445,11.8,0
Wood,0.0838478861,0.137,32.68,0.4953036659,0.0000835917077,87,474,0.1763331499,3868,0.00031221248,13.6,0
